MistoPoskytovaniId,ZdravotnickeZarizeniId,Kod,NazevZarizeni,DruhZarizeni,Obec,Psc,Ulice,CisloDomovniOrientacni,Kraj,KrajCode,Okres,OkresCode,SpravniObvod,PoskytovatelTelefon,PoskytovatelFax,PoskytovatelEmail,PoskytovatelWeb,Ico,TypOsoby,PravniFormaKod,KrajCodeSidlo,OkresCodeSidlo,ObecSidlo,PscSidlo,UliceSidlo,CisloDomovniOrientacniSidlo,OborPece,FormaPece,DruhPece,OdbornyZastupce,Lat,Lng
244857,175645,2.67758E+13,"Canadian Medical s.r.o., praktický lékař",Samost. ordinace všeob. prakt. lékaře,Praha 4,14800,Šustova,1930/2,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,alena.rubinova@canadian.cz,http://eucpremium.cz,26775816,2,112,CZ010,CZ0100,Praha 8,16000,Evropská,859/115,všeobecné praktické lékařství,ambulantní péče,,"Jitka Jirků, Jitka Kárníková, Lucie Skalíková, MUDr. Marcela Lejsková, Pavla Marková, Petr Chalupa",50.02746438,14.48933373
226473,175644,2.67758E+13,Canadian Medical s.r.o.,Samostatná ordinace lékaře specialisty,Praha 1,11000,Spálená,78/12,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,alena.rubinova@canadian.cz,http://eucpremium.cz,26775816,2,112,CZ010,CZ0100,Praha 8,16000,Evropská,859/115,ortopedie a traumatologie pohybového ústrojí,ambulantní péče,,"Jitka Jirků, Jitka Kárníková, Lucie Skalíková, MUDr. Marcela Lejsková, Pavla Marková, Petr Chalupa",50.0802924,14.41994158
244860,175643,2.85095E+13,MSCARE s.r.o.,Domácí zdravotní péče,Praha 6,16000,Na Zavadilce,299/8,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20777E+11,,info@KlinikaNaKosiku.cz,http://www.klinikanakosiku.cz,28509480,2,112,CZ010,CZ0100,Praha 15,10200,Tesaříkova,1028/4,Všeobecná sestra,zdrav. péče poskytovaná ve vlastním soc. prostředí pacienta - domácí péče - ošetřovatelská,,"MUDr. Michal Chrz, Tereza Keicherová",50.10985712,14.37944398
244859,175642,8.96623E+12,PSYCHOLOGICKÁ KLINIKA PRO DĚTI A DOSPĚLÉ s.r.o.,Samostatné zařízení psychologa,Praha 9,19000,Lovosická,440/40,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20732E+11,,valpetra@seznam.cz,,8966231,2,112,CZ010,CZ0100,Praha 9,19000,Za Lidovým domem,1010/2,Klinický psycholog,specializovaná ambulantní péče,,Petra Skřivánková,50.12886802,14.49018979
244858,175641,8.96623E+12,PSYCHOLOGICKÁ KLINIKA PRO DĚTI A DOSPĚLÉ s.r.o.,Samostatné zařízení psychologa,Praha 7,17000,Janovského,993/48,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20732E+11,,valpetra@seznam.cz,,8966231,2,112,CZ010,CZ0100,Praha 9,19000,Za Lidovým domem,1010/2,Klinický psycholog,specializovaná ambulantní péče,,Petra Skřivánková,50.1037439,14.43314927
244852,175638,1.98022E+13,MUDr. Petra Vanešová,Samostatná ordinace lékaře specialisty,Praha 8,18200,Uzavřená,167/1,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,,,19802200,1,,CZ010,CZ0100,Praha 8,18200,Uzavřená,167/1,psychiatrie,ambulantní péče,,,50.12216621,14.45223536
244843,175635,4.96212E+13,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Praha 4,14100,Božkovská,2967/4,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20733E+11,4.20733E+11,p.jiristova@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,,lékárenská péče,"Aleš Polák, Lenka Pospíchalová, Soňa Francová",50.04501022,14.48702318
244847,175634,4.11948E+13,"VIDIA-DIAGNOSTIKA, spol. s r.o., Odběrová místnost",Odběrová místnost,Praha 6,16200,Stamicova,1968/21,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,4.20282E+11,,info@vidia-diagnostika.cz,http://www.vidia-diagnostika.cz,41194811,2,112,CZ010,CZ0100,Praha 14,19000,Českomoravská,2510/19,laboratorní a vyšetřovací metody ve zdravotnictví,ambulantní péče,,"Dana Hrubá, MUDr. Jan Haber, CSc., MUDr. Marcela Vorlíčková",50.08978038,14.35789289
244822,175620,1.71015E+13,Eternal Clinic s.r.o.,Samostatná ordinace lékaře specialisty,Praha 5,15800,Bucharova,2657/12,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,n.nguyenová@gmail.com,,17101476,2,112,CZ010,CZ0100,Praha 8,18000,Chlumčanského,497/5,cévní chirurgie,ambulantní péče,,Petr Křiváček,50.05064966,14.35365412
244818,175609,1.79784E+13,MUDr. Tomáš Nedeliak,Samostatná ordinace lékaře specialisty,Praha 1,11000,Spálená,76/14,Hlavní město Praha,CZ010,Hlavní město Praha,CZ0100,,,,nedeliak.tomas@gmail.com,,17978386,1,,CZ010,CZ0100,Praha 1,11000,Spálená,76/14,otorinolaryngologie a chirurgie hlavy a krku,ambulantní péče,,,50.08058556,14.41992715
